URL,Document Type,Scheme Name
https://groww.in/mutual-funds/hdfc-mid-cap-fund-direct-growth,Web Page,HDFC Mid Cap Fund Direct Growth
https://groww.in/mutual-funds/hdfc-elss-tax-saver-fund-direct-plan-growth,Web Page,HDFC ELSS Tax Saver Fund Direct Plan Growth
